time,position,time_remaining,cash,mid_price,pnl
360,0,600,0.0,100.0,0.0
370,-3,590,0.0,100.20529311319854,-300.6158793395956
380,1,580,0.0,100.30766768325458,100.30766768325458
390,4,570,0.0,100.29542844728813,401.1817137891525
400,-9,560,0.0,100.28139025035638,-902.5325122532074
410,-17,550,0.0,100.25581303273844,-1704.3488215565535
420,-5,540,0.0,100.14500247902718,-500.72501239513593
430,-19,530,0.0,100.09476505105843,-1901.80053597011
440,-19,520,0.0,100.06060164779373,-1901.1514313080809
450,-16,510,0.0,100.07493707699548,-1601.1989932319277
460,-48,500,0.0,100.02090868761974,-4801.003617005747
470,-43,490,0.0,100.08251114901834,-4303.547979407789
480,-56,480,0.0,100.04711992350887,-5602.638715716497
490,-68,470,0.0,99.9954571299228,-6799.691084834751
500,-65,460,0.0,100.10475185396302,-6506.808870507596
510,-30,450,0.0,100.02838580743142,-3000.8515742229424
520,-61,440,0.0,100.22065189911298,-6113.4597658458915
530,-77,430,0.0,100.00571479236757,-7700.440039012303
540,-57,420,0.0,100.00708418772693,-5700.403798700435
550,-58,410,0.0,100.04973247271403,-5802.884483417413
560,-52,400,0.0,100.01318173352966,-5200.685450143543
570,-52,390,0.0,99.96487379030273,-5198.173437095742
580,-43,380,0.0,99.97786745366433,-4299.048300507567
590,-54,370,0.0,100.25184242697243,-5413.599491056511
600,-31,360,0.0,100.16805013984376,-3105.2095543351566
610,-36,350,0.0,100.2243050606156,-3608.074982182162
620,-47,340,0.0,100.22051688222984,-4710.364293464802
630,-49,330,0.0,100.25481338783926,-4912.485856004124
640,-62,320,0.0,100.12291015653837,-6207.620429705379
650,-77,310,0.0,99.9179434683817,-7693.68164706539
660,-78,300,0.0,100.13961991192676,-7810.890353130287
670,-79,290,0.0,100.39002268684729,-7930.811792260935
680,-73,280,0.0,100.50086450481085,-7336.563108851192
690,-57,270,0.0,100.61925530852612,-5735.297552585989
700,-48,260,0.0,100.49477276547368,-4823.749092742737
710,-66,250,0.0,100.27367745726153,-6618.06271217926
720,-55,240,0.0,100.45754089487771,-5525.164749218274
730,-7,230,0.0,100.43655423813412,-703.0558796669388
740,-20,220,0.0,100.63808793735492,-2012.7617587470986
750,-12,210,0.0,100.58980060345786,-1207.0776072414942
760,6,200,0.0,100.49828061373233,602.989683682394
770,-12,190,0.0,100.40368341120131,-1204.8442009344158
780,-10,180,0.0,100.36582541895598,-1003.6582541895598
790,-45,170,0.0,100.42757586156884,-4519.240913770598
800,-73,160,0.0,100.32261568099055,-7323.55094471231
810,-74,150,0.0,100.3122443287988,-7423.106080331111
820,-44,140,0.0,100.42046751657305,-4418.500570729215
830,-28,130,0.0,100.20028908022245,-2805.6080942462286
840,-22,120,0.0,100.1262464991035,-2202.777422980277
850,-18,110,0.0,100.1720168547943,-1803.0963033862972
860,-11,100,0.0,100.1534407986522,-1101.687848785174
870,-18,90,0.0,100.11944756371554,-1802.1500561468797
880,-27,80,0.0,100.0228634754409,-2700.6173138369045
890,-23,70,0.0,100.05449124987278,-2301.253298747074
900,-22,60,0.0,99.94223241225953,-2198.7291130697095
910,-24,50,0.0,100.08115698938451,-2401.9477677452282
920,-11,40,0.0,99.99025500436477,-1099.8928050480124
930,-14,30,0.0,100.13041026780527,-1401.825743749274
940,-20,20,0.0,100.1148883097861,-2002.297766195722
950,-19,10,0.0,99.92283259274075,-1898.5338192620743
960,-30,0,0.0,100.00830271996206,-3000.2490815988617
